Price,Certification_Total,Material_CO2_norm,Material_Water_norm,Material_Energy_norm,Material_Chemical_norm,Care_CO2_norm,Care_Water_norm,Care_Energy_norm,Origin_Grid_norm,Origin_Transport_norm,Origin_Manufacturing_norm,Brand_Patagonia,Brand_Penneys,Brand_Zara,Category_Woman,Subcategory_Jumper,Subcategory_Sweater,Subcategory_Tshirt
,0.2,0.024390243902439022,0.18361288407302953,0.009900990099009905,0.09616775126536516,1.0,1.0,1.0,0.65,0.4,0.6,False,False,False,False,False,False,True
,0.1,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.55,0.45,0.7,False,False,True,True,False,False,False
,0.0,0.1149651567944251,0.040357354905744394,0.18226072607260727,0.21068329718004342,0.0,0.0,0.0,0.25,0.1,0.3,False,True,False,False,True,False,False
,0.2,0.04867595818815331,0.10601899955469793,0.10574807480748077,0.15916485900216923,1.0,1.0,1.0,0.4,0.2,0.45,False,False,True,False,False,False,True
,0.0,0.5121951219512195,0.3320469051506605,0.834983498349835,0.7830802603036876,0.0,0.0,0.0,0.45,0.35,0.55,False,False,False,False,True,False,False
,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.25,0.1,0.3,False,False,False,False,False,False,False
,0.0,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65,False,False,False,True,True,False,False
,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45,False,True,False,False,False,False,True
,0.0,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.3,0.1,0.35,False,False,False,False,False,False,True
,0.0,0.11651567944250872,0.004697936767107021,0.2181518151815182,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,False,False,True,True,False,True,False
,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,False,True,False,False,False,True,False
,0.0,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.45,0.35,0.55,False,True,False,True,False,False,False
,0.2,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65,False,False,True,True,False,True,False
,0.4,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.4,0.2,0.45,True,False,False,False,False,False,False
,0.0,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.5,0.4,0.65,False,True,False,True,False,False,True
,0.1,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.55,0.45,0.7,False,False,True,False,False,False,True
,0.4,0.18395470383275261,0.04225174409974766,0.29977997799779976,0.33432754880694143,0.0,0.0,0.0,0.55,0.45,0.7,True,False,False,True,False,False,False
,0.05,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55,False,False,False,True,True,False,False
,0.2,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55,True,False,False,False,False,False,False
,0.0,0.20261324041811848,0.559759536885854,0.4109460946094609,0.5981561822125813,1.0,1.0,1.0,0.55,0.45,0.7,False,True,False,False,False,False,False
,0.0,0.27484320557491293,0.019296422740092026,0.5401540154015402,0.5307302964569776,1.0,1.0,1.0,0.4,0.2,0.45,False,True,False,False,False,False,True
,0.0,0.1637630662020906,0.7374387709663054,0.2825907590759076,0.6384671005061461,1.0,1.0,1.0,0.3,0.1,0.35,False,True,False,False,False,False,False
,0.2,0.281602787456446,0.33488941665429717,0.5589933993399341,0.6773318872017354,0.0,0.0,0.0,0.3,0.1,0.35,True,False,False,False,False,False,False
,0.15,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6,False,False,True,False,False,False,False
,0.0,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.3,0.1,0.35,False,False,True,True,False,False,False
,0.4,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65,True,False,False,True,True,False,False
,0.0,0.20843205574912893,0.028855573697491466,0.533993399339934,0.6231923355025307,0.0,0.0,0.0,0.5,0.4,0.65,False,True,False,False,False,False,False
,0.0,0.5445296167247387,0.28814754341695115,0.8202420242024202,0.778470715835141,0.0,0.0,0.0,0.65,0.4,0.6,False,False,False,True,False,True,False
,0.2,0.07012891986062716,0.6336574142793527,0.1253025302530253,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65,True,False,False,False,False,False,True
,0.0,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.3,0.1,0.35,False,True,False,False,False,False,True
,0.0,0.07549477351916375,0.07716157043194301,0.19326182618261828,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.7,False,False,False,False,True,False,False
,0.0,0.05031358885017422,0.10078670031171144,0.11221122112211221,0.16341287057122203,1.0,1.0,1.0,0.3,0.1,0.35,False,True,False,True,False,False,True
,0.2,0.14588850174216028,0.0069615555885408935,0.352035203520352,0.4417932031814895,1.0,1.0,1.0,0.55,0.45,0.75,True,False,False,False,True,False,False
,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.3,0.1,0.35,False,False,False,False,False,True,False
,0.4,0.16103135888501743,0.3743506011577853,0.26644664466446644,0.33116413593637023,0.0,0.0,0.0,0.5,0.4,0.65,True,False,False,False,True,False,False
,0.4,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.45,0.35,0.55,True,False,False,False,False,False,False
,0.0,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.45,0.35,0.55,False,False,True,False,False,False,False
,0.0,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65,False,True,False,False,False,True,False
,0.0,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.45,0.35,0.55,False,True,False,True,False,False,True
,0.0,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.45,0.35,0.55,False,True,False,False,False,True,False
